Customer_ID,Age,Gender,Income,City,Location,Education,Banking_Type,Transactions_Per_Month,Internet_Usage_Score,Credit_Score,Satisfaction_Score
97,62,M,76543,Bangalore,rural,,,7,1,760,7
98,35,M,36938,Lucknow,urban,,Online,3,4,538,8
99,64,male,97492,Nagpur,Rural,,Online,26,8,673,6
100,,F,71586,Delhi,rural,Graduate,,57,15,406,1
101,41,M,78024,Delhi,Rural,,,2,2,889,5
102,43,female,59687,Jaipur,urban,,,12,9,337,1
103,42,Female,91129,Hyderabad,rural,,,59,7,813,3
104,62,M,46207,Ahmedabad,rural,Graduate,Online,-10,5,625,1
105,58,female,69354,Delhi,Rural,,Online,32,8,701,2
106,46,male,125457,Kolkata,rural,,Online,51,15,631,
107,32,,57310,Chennai,urban,,Online,,15,374,1
108,62,,68960,,rural,Post-Graduate,Online,38,7,756,7
109,18,,81262,Surat,,Graduate,Online,11,15,455,7
110,42,Female,117155,Bhopal,urban,Graduate,Online,32,9,853,4
111,24,female,146019,Chennai,Urban,Non-Graduate,Online,,,575,2
112,26,M,33403,Patna,Rural,,Offline,45,15,367,4
113,41,F,33065,Nagpur,urban,,,15,6,345,4
114,18,Female,109930,Surat,Urban,Non-Graduate,,54,9,605,9
115,61,Female,46801,Pune,Urban,,Offline,6,15,786,9
116,25,,128182,Indore,urban,,,26,1,794,5
117,41,F,119132,Jaipur,Urban,Graduate,Online,8,3,558,7
118,28,,49230,Bhopal,Urban,,Offline,8,1,815,7
119,68,Female,92706,Chennai,,Post-Graduate,Online,38,4,454,3
120,34,M,103942,Bangalore,rural,Post-Graduate,Offline,8,7,336,9
121,25,,110214,Mumbai,,Post-Graduate,,17,1,834,3
122,52,,49968,Nagpur,rural,Non-Graduate,Online,39,3,454,0
123,52,,62517,Nagpur,Urban,Post-Graduate,Online,19,4,813,7
124,50,Female,138899,Ahmedabad,rural,Non-Graduate,,-10,3,565,7
125,22,M,139642,Indore,,Graduate,,3,9,645,9
126,59,F,73239,Mumbai,Rural,Graduate,,41,15,838,0
127,56,Male,52655,Lucknow,Rural,Post-Graduate,Online,49,6,800,7
128,58,F,112623,Indore,rural,Non-Graduate,,9,,592,5
129,45,M,142983,Kolkata,Rural,Post-Graduate,Offline,53,6,584,
130,24,male,149282,,urban,,Offline,46,9,504,0
131,26,,82771,Bhopal,Rural,Non-Graduate,Online,57,8,435,2
132,25,F,146318,Hyderabad,rural,Non-Graduate,,33,6,615,
133,29,male,65984,Bhopal,Urban,Non-Graduate,,32,8,427,1
134,51,male,31049,Bangalore,,Non-Graduate,Offline,32,9,648,6
135,50,M,92321,Unknown,Rural,,Online,6,15,748,9
136,65,M,127302,Bhopal,rural,Post-Graduate,,49,4,836,3
137,200,,141854,Patna,,Graduate,,49,5,528,1
138,40,Male,84813,,urban,,,53,6,652,1
139,41,female,24655,Pune,Urban,,,59,7,314,9
140,54,Female,103994,Chennai,,Non-Graduate,Offline,29,,482,9
141,52,F,149531,Lucknow,,Non-Graduate,Offline,37,5,435,6
142,61,M,110638,Lucknow,rural,Graduate,,17,5,554,3
143,57,F,92454,Chennai,urban,,Online,50,,603,9
144,39,female,88972,Pune,Rural,Non-Graduate,,19,5,748,5
145,44,female,41432,Unknown,urban,,Online,31,15,759,8
146,52,,110409,,Urban,,Online,19,7,760,4
147,18,male,123176,Lucknow,Rural,,Offline,23,,673,1
148,52,,85896,Delhi,urban,Graduate,Online,50,,705,0
149,54,Female,130213,Bhopal,Urban,Graduate,Online,47,3,740,2
150,64,Male,90135,Lucknow,,,Offline,35,,532,8
151,31,F,62936,Jaipur,,Post-Graduate,Online,14,8,824,0
152,20,Female,125035,,,,Online,1,,609,4
153,18,Male,120381,Kolkata,,,,49,4,404,0
154,22,F,33750,Jaipur,Rural,Post-Graduate,,33,4,602,1
155,43,Female,47987,Chennai,,,Online,49,6,625,5
156,200,M,136861,Lucknow,Rural,,Online,36,8,627,4
157,31,F,122995,Kolkata,Rural,,,1,9,387,
158,56,Female,46165,Unknown,urban,Non-Graduate,,20,1,811,5
159,44,female,70541,Indore,,Post-Graduate,Online,22,2,593,3
160,26,Male,44346,Mumbai,rural,Non-Graduate,Offline,35,,665,4
161,32,Female,140659,Ahmedabad,,Non-Graduate,Online,3,6,577,8
162,32,M,23514,Chennai,rural,,Offline,12,15,386,6
163,43,,44838,Kolkata,,Graduate,Offline,43,7,300,5
164,59,F,47559,Hyderabad,Rural,,Offline,37,15,513,0
165,30,F,121223,,,Graduate,,58,,490,
166,68,F,117501,Lucknow,,,,13,5,419,4
167,49,M,79207,Nagpur,,,Online,12,5,494,
168,56,Male,36385,Patna,,,Online,2,6,488,2
169,66,F,38317,Pune,urban,,Online,20,6,683,1
170,69,Male,20393,Patna,urban,Non-Graduate,Online,1,4,872,0
171,49,Female,44881,Kolkata,Rural,,Offline,58,,847,4
172,21,female,131761,,Rural,,,,7,868,2
173,47,female,118833,Hyderabad,rural,,,41,9,787,9
174,54,Male,139311,Kolkata,Rural,,Offline,35,2,571,2
175,40,Male,47955,,urban,Post-Graduate,Online,24,8,440,2
176,56,female,78308,Delhi,Rural,Non-Graduate,Online,52,,577,6
177,62,F,130515,Surat,rural,Post-Graduate,,38,,702,6
178,32,male,78014,Surat,rural,Post-Graduate,Offline,26,6,701,4
179,60,male,138756,Pune,urban,,,11,3,811,3
180,46,M,142195,Chennai,Rural,Non-Graduate,Offline,52,2,347,4
181,53,,85430,Kolkata,rural,Graduate,,52,,838,5
182,30,female,92031,Kolkata,Rural,Non-Graduate,Online,43,,792,8
183,49,female,125257,Delhi,Rural,Graduate,,15,6,439,2
184,24,M,149232,Hyderabad,urban,,Online,6,6,536,
185,68,male,106973,Patna,urban,Graduate,,40,5,759,6
186,39,Female,79596,Lucknow,Rural,Graduate,Offline,9,4,385,7
187,45,F,137360,Jaipur,,Graduate,,50,9,692,3
188,19,F,21713,Nagpur,,,Online,6,2,792,5
189,59,Female,40428,Bhopal,Urban,,Online,17,4,542,2
190,62,Female,82160,Lucknow,Urban,Post-Graduate,,23,1,579,3
191,,male,86171,Ahmedabad,Urban,Graduate,Online,58,,494,2
192,23,M,139822,Kolkata,urban,Non-Graduate,Online,31,4,539,
193,45,Female,100729,Indore,Rural,,Offline,16,8,1000,0
194,45,M,80843,,rural,Post-Graduate,Offline,51,,793,1
195,61,,43003,Patna,Rural,Graduate,Offline,57,3,601,8
196,61,Male,100169,Hyderabad,Rural,Post-Graduate,Online,22,3,581,3
197,37,F,114764,,Urban,Graduate,Online,16,6,531,7
198,47,male,62077,Patna,Rural,Graduate,Online,45,2,729,3
199,28,F,46730,Mumbai,Urban,Post-Graduate,Online,-10,4,782,7
200,200,male,134082,Hyderabad,Rural,Graduate,,12,15,688,8
201,45,Male,92981,Nagpur,rural,Graduate,Offline,9,5,841,6
202,42,F,130719,,,,Online,6,8,872,9
203,56,Male,99817,Hyderabad,,Non-Graduate,,4,4,726,1
204,50,male,92138,,urban,,Online,38,15,539,1
205,18,Female,85573,Indore,rural,,Online,17,5,538,2
206,44,,128128,Ahmedabad,Rural,,Offline,58,4,479,4
207,69,F,48869,Patna,rural,,,56,3,472,6
208,30,Male,122079,Bhopal,Rural,Non-Graduate,Online,10,6,322,9
209,58,female,51076,Bangalore,rural,,,40,9,432,5
210,20,F,112166,Hyderabad,rural,Graduate,Online,35,6,357,9
211,56,F,106005,Lucknow,,Non-Graduate,Offline,47,7,467,5
212,23,F,117835,Jaipur,rural,Graduate,Online,21,8,311,2
213,25,M,146283,Lucknow,urban,Graduate,,53,1,649,9
214,44,Male,45094,Patna,Rural,Graduate,Offline,19,7,572,9
215,26,Male,46817,Mumbai,Urban,Graduate,Online,27,8,570,7
216,54,F,30555,Bhopal,rural,,Offline,11,7,470,4
217,50,Female,90656,Indore,Urban,,Online,6,1,366,5
218,68,F,148061,Pune,,,,59,2,811,1
219,59,M,100214,Surat,Urban,,Offline,41,4,758,6
220,61,male,141432,Surat,urban,,Offline,43,5,441,9
221,41,M,70193,,urban,Non-Graduate,Offline,28,9,742,
222,32,Female,24715,,,Graduate,Offline,3,9,636,6
223,,F,54162,Chennai,urban,Graduate,Online,41,15,334,9
224,49,Male,121173,Surat,Rural,Graduate,Online,45,2,329,0
225,49,,117858,Unknown,urban,Post-Graduate,,24,7,576,2
226,41,female,121980,,rural,Non-Graduate,Offline,37,3,517,5
227,58,F,122025,Chennai,urban,Post-Graduate,,13,8,593,3
228,69,Female,146652,Ahmedabad,Rural,,Online,15,9,672,7
229,66,Male,58458,Patna,,Post-Graduate,Online,9,15,867,2
230,66,M,124122,,urban,,Offline,39,4,369,1
231,69,male,118538,Jaipur,Rural,,Online,35,2,623,
232,29,male,23140,Bhopal,rural,Non-Graduate,Offline,58,,765,7
233,56,,94174,Lucknow,Urban,Post-Graduate,Offline,45,9,835,8
234,19,F,131201,Patna,Urban,Post-Graduate,,-10,15,838,6
235,20,M,142887,,,Graduate,,18,2,773,3
236,66,,147437,,,Non-Graduate,Online,43,2,632,
237,54,female,37383,,Urban,Graduate,,53,9,619,3
238,66,female,37718,Surat,Urban,Non-Graduate,,3,6,612,3
239,-5,,126629,,,Non-Graduate,,28,15,540,0
240,34,Female,96160,Nagpur,Urban,Post-Graduate,Online,16,5,446,5
241,66,male,77399,Bhopal,urban,Graduate,Offline,42,15,426,
242,19,M,107008,Ahmedabad,Rural,,Offline,41,6,779,4
243,19,F,41863,Indore,,Graduate,Offline,47,9,698,
244,45,Male,91626,Ahmedabad,Rural,,Offline,43,1,485,
245,,F,31377,Indore,rural,,Offline,58,7,838,9
246,40,F,103031,Delhi,rural,Non-Graduate,Offline,23,8,380,1
247,54,M,149161,,urban,Graduate,Online,32,4,390,9
248,49,male,80523,Bhopal,rural,Non-Graduate,Online,10,8,774,8
249,50,M,144403,Ahmedabad,,Graduate,Offline,58,,435,6
250,18,Male,34870,Bhopal,urban,,Online,56,1,859,9
251,36,,77487,,urban,Graduate,,38,15,837,6
252,19,M,39300,Mumbai,,,,57,8,529,7
253,,Female,75951,Delhi,Urban,Non-Graduate,Online,38,3,377,4
254,61,F,87639,Lucknow,Rural,Post-Graduate,Online,13,4,564,6
255,43,male,110731,Delhi,,,,15,8,759,3
256,49,female,144766,Lucknow,Urban,Non-Graduate,Online,28,8,653,5
257,23,Male,123429,Unknown,Urban,Post-Graduate,,13,15,664,
258,49,female,149565,Mumbai,rural,Non-Graduate,,35,2,769,4
259,200,F,92126,Ahmedabad,urban,Non-Graduate,,2,9,439,4
260,21,M,62980,Bhopal,urban,Graduate,,-10,4,844,2
261,200,female,127904,,rural,,,1,6,677,6
262,28,Female,52050,Unknown,rural,,,41,8,667,3
263,-5,M,22921,Patna,urban,Graduate,Offline,32,4,405,7
264,34,F,90270,Bangalore,,Graduate,Offline,30,8,791,9
265,55,female,105293,Lucknow,,Non-Graduate,Online,22,7,531,1
266,41,,50328,Surat,,,,4,8,687,6
267,22,Male,80820,Pune,,Non-Graduate,Online,53,4,816,7
268,69,female,43138,Lucknow,rural,Post-Graduate,,46,2,315,9
269,51,,101573,Delhi,Rural,Post-Graduate,Online,24,4,537,4
270,23,,119140,Patna,Rural,Graduate,Offline,14,5,600,7
271,39,female,32094,Ahmedabad,urban,,Online,17,4,830,8
272,28,male,85264,Indore,Rural,Post-Graduate,Online,14,15,791,6
273,65,female,144465,Mumbai,,,Online,40,8,824,5
274,33,F,147755,Lucknow,rural,,Online,39,,430,2
275,50,,29028,Patna,,,Online,41,5,570,1
276,26,Male,129053,Hyderabad,Urban,Post-Graduate,,52,9,518,3
277,23,F,35432,Lucknow,rural,Post-Graduate,,27,7,844,8
278,33,Female,63819,Bhopal,Urban,Non-Graduate,Offline,21,7,810,5
279,46,M,108627,Surat,Urban,Non-Graduate,Online,40,5,613,
280,20,female,147240,Bangalore,urban,,,35,3,562,5
281,37,male,101122,Delhi,Urban,Graduate,Offline,26,8,343,9
282,53,Male,25312,Indore,Rural,Non-Graduate,Online,31,4,848,9
283,36,male,45973,Kolkata,Rural,Non-Graduate,,59,3,675,9
284,43,male,122126,Unknown,Urban,,Online,33,4,314,8
285,20,male,75305,Surat,urban,Post-Graduate,,49,1,814,
286,36,female,48973,Kolkata,Urban,Non-Graduate,,11,8,807,8
287,37,Male,64390,Kolkata,rural,Graduate,Online,59,9,406,2
288,49,Male,36099,Jaipur,rural,,Online,58,3,653,2
289,24,,148953,Bhopal,rural,Post-Graduate,Online,16,,359,5
290,69,male,69956,Chennai,rural,,Offline,6,6,654,6
291,58,,119379,Kolkata,Urban,Graduate,,34,4,667,5
292,50,,34063,Hyderabad,,Post-Graduate,Offline,-10,9,895,8
293,57,M,114306,,,,Online,41,2,501,0
294,56,female,112752,Kolkata,rural,,Online,32,3,770,1
295,35,female,113196,Pune,urban,Graduate,,21,1,329,6
296,57,F,101919,Pune,urban,Non-Graduate,,29,7,402,
297,18,,29605,Bangalore,Urban,Non-Graduate,,11,9,440,
298,28,female,116185,Jaipur,,Graduate,Online,57,1,611,5
299,45,male,122756,Patna,Urban,Non-Graduate,Online,56,15,579,2
300,42,Female,136351,Kolkata,Rural,,Offline,56,3,558,0
301,67,male,118095,Nagpur,rural,Graduate,Online,5,7,840,8
302,40,Male,145855,Delhi,Rural,Graduate,Online,27,3,387,7
303,48,female,130602,Bhopal,Rural,Non-Graduate,,28,3,865,
304,47,female,97904,Pune,urban,Graduate,,31,3,540,5
305,59,F,92964,Pune,,,Offline,50,4,890,2
306,52,,71205,Patna,rural,Graduate,,11,4,622,2
307,24,Female,35817,Mumbai,Urban,Non-Graduate,Online,59,8,426,1
308,33,female,22420,Lucknow,rural,Non-Graduate,Offline,13,5,388,0
309,43,F,104448,Jaipur,Urban,Non-Graduate,Online,43,3,363,8
310,65,F,89853,Delhi,Urban,Non-Graduate,,6,,494,6
311,69,Female,144820,Surat,,,Online,27,5,570,2
312,66,male,109897,Lucknow,Rural,Non-Graduate,Online,30,9,502,6
313,19,male,47728,Lucknow,Urban,,,53,6,899,4
314,18,male,144826,Pune,,Graduate,,48,4,710,3
315,65,M,77858,Surat,Rural,Post-Graduate,Online,19,1,376,9
316,29,,141915,Patna,Rural,Post-Graduate,Online,14,8,386,3
317,22,,126716,Chennai,rural,,Online,58,5,877,8
318,54,male,69089,Patna,rural,Post-Graduate,,9,9,632,
319,49,Female,116604,Bangalore,rural,Non-Graduate,Online,55,7,684,8
320,200,M,118531,Patna,urban,Post-Graduate,,45,2,621,5
321,26,,104257,,Rural,,Online,28,2,365,6
322,58,male,48964,Hyderabad,urban,Non-Graduate,Online,28,8,749,5
323,52,M,117065,Bangalore,rural,Post-Graduate,Online,46,15,543,4
324,36,Female,96992,Nagpur,,Non-Graduate,Online,25,5,815,3
325,65,male,119259,Nagpur,rural,,Offline,26,5,632,8
326,33,Male,136185,Unknown,Urban,,Offline,59,6,728,6
327,20,female,62240,Kolkata,,Graduate,Online,4,7,556,1
328,37,Female,120282,Ahmedabad,,Non-Graduate,Online,3,4,484,8
329,41,F,103449,Pune,Rural,,,34,9,878,4
330,,F,32675,Lucknow,urban,,Online,21,8,366,2
331,-5,Female,137350,Mumbai,Urban,,,17,6,313,5
332,50,F,117677,Indore,,,,38,1,309,2
333,41,,112525,Bangalore,urban,Post-Graduate,,34,6,300,2
334,69,Female,80049,Bangalore,urban,,,44,1,344,
335,28,Male,141121,Nagpur,Urban,Post-Graduate,,12,5,647,6
336,66,Female,101664,,Urban,Post-Graduate,,25,6,726,5
337,25,male,68436,Unknown,rural,,Online,21,2,822,
338,53,male,60213,Pune,rural,,,18,3,724,0
339,55,M,48111,Patna,,Graduate,Offline,36,7,876,8
340,57,F,24284,Lucknow,,Graduate,Online,6,5,723,
341,37,female,111029,Bangalore,,,Offline,20,,366,0
342,52,F,37585,Surat,rural,Non-Graduate,,53,15,514,3
343,65,,85039,Patna,,,Offline,20,9,669,8
344,42,Female,115131,Bangalore,,Graduate,,32,8,600,8
345,52,female,27131,Patna,rural,,Online,31,,436,4
346,42,female,63382,Jaipur,rural,,,20,9,528,8
347,46,F,111733,,,Graduate,,51,15,809,4
348,35,female,53527,Pune,,Graduate,,57,6,507,
349,63,female,107493,Bhopal,urban,Graduate,,30,2,856,4
350,35,male,50936,Bhopal,Rural,,,3,15,894,4
351,19,Male,107081,,rural,Graduate,,20,6,318,0
352,,Female,73441,Nagpur,Rural,Non-Graduate,,8,5,790,6
353,52,F,74598,Unknown,rural,Graduate,Online,21,,430,0
354,33,male,99220,Kolkata,urban,,Online,48,4,440,6
355,58,,127984,Patna,Rural,Non-Graduate,Online,23,9,837,1
356,53,,40642,,urban,Post-Graduate,,54,2,450,4
357,50,M,89907,Indore,Urban,Graduate,Online,1,15,680,3
358,21,female,32651,Ahmedabad,Rural,Post-Graduate,Offline,2,3,404,9
359,50,female,21665,Delhi,Rural,Post-Graduate,Online,10,4,497,
360,31,F,26918,Mumbai,Rural,,Offline,37,7,526,9
361,38,Male,43007,,Urban,,Online,58,1,817,1
362,65,Male,116944,Ahmedabad,Urban,,,30,9,316,2
363,37,F,95730,Kolkata,urban,Post-Graduate,,51,5,876,9
364,-5,F,45035,Jaipur,Urban,,,44,1,471,0
365,25,male,109352,Hyderabad,rural,Non-Graduate,,24,8,616,0
366,24,,108602,Nagpur,,Graduate,Offline,32,3,394,2
367,20,F,96749,Kolkata,Rural,Non-Graduate,,56,15,535,6
368,34,,134049,Unknown,urban,Graduate,Online,50,1,315,2
369,50,M,108148,Ahmedabad,urban,Post-Graduate,Online,30,15,743,5
370,65,,42211,Patna,urban,,Online,38,15,834,7
371,29,male,74587,Bangalore,urban,,,55,7,367,1
372,68,female,46866,Chennai,Rural,,Online,14,4,447,6
373,39,female,125940,Bhopal,urban,,Offline,55,5,760,8
374,200,,117135,Unknown,Rural,Non-Graduate,Offline,3,,463,7
375,39,female,136053,Unknown,urban,,Offline,25,2,653,
376,63,female,27344,Hyderabad,urban,Graduate,Online,45,4,367,8
377,47,Female,88737,Surat,,,,7,5,581,5
378,55,M,90288,Surat,rural,,Online,17,4,334,1
379,55,male,82546,Mumbai,Urban,Post-Graduate,,41,3,864,3
380,62,male,127879,Indore,Urban,Post-Graduate,Online,27,5,703,5
381,68,female,30327,Jaipur,Urban,Non-Graduate,,38,2,565,0
382,,Male,68659,Unknown,rural,Post-Graduate,Online,38,,369,0
383,25,male,65797,Ahmedabad,Rural,Graduate,,23,,777,5
384,44,M,91627,Lucknow,Urban,,Online,32,1,639,9
385,44,F,47608,Nagpur,Urban,,Online,2,15,601,3
386,51,M,48285,Lucknow,Urban,Non-Graduate,Offline,11,7,798,5
387,38,female,108534,,Rural,,Offline,34,15,815,2
388,47,female,136209,Hyderabad,rural,,Offline,52,15,850,2
389,50,Female,68634,Hyderabad,rural,,,-10,3,411,5
390,45,,60289,Pune,Rural,Post-Graduate,Online,,6,840,9
391,64,male,108479,Chennai,,,Online,47,15,559,2
392,50,,133714,Indore,urban,Post-Graduate,Online,34,8,673,8
393,22,,38007,Patna,Rural,Post-Graduate,Online,7,3,674,3
394,65,male,45257,Indore,urban,Non-Graduate,,10,9,500,3
395,36,male,105054,Delhi,rural,Non-Graduate,Offline,25,5,502,2
396,21,female,49784,Bangalore,urban,,Offline,2,8,620,4
397,52,male,58588,Nagpur,Urban,,Offline,49,,778,7
398,66,Male,64221,Patna,urban,Graduate,,30,2,797,5
399,34,Male,41378,Lucknow,urban,,Online,17,2,399,3
400,61,F,24696,Ahmedabad,rural,,,29,6,602,0
401,45,male,113531,Indore,,Graduate,,18,15,317,8
402,47,Female,54635,Surat,urban,Post-Graduate,Online,46,2,453,8
403,46,F,146489,Nagpur,rural,Post-Graduate,Offline,,6,588,8
404,63,female,78543,Patna,Urban,Graduate,Offline,35,9,1000,4
405,,male,101259,Bangalore,urban,Post-Graduate,Online,17,3,643,3
406,23,Male,39207,Jaipur,urban,,Online,56,8,473,8
407,52,Female,47524,Pune,Urban,Non-Graduate,Online,47,3,836,6
408,58,F,48554,Nagpur,Rural,,,22,9,698,7
409,54,Female,31817,Mumbai,,Post-Graduate,Online,51,5,461,1
410,41,male,147458,Delhi,Urban,Non-Graduate,Online,25,8,734,0
411,46,M,75258,Jaipur,Urban,,,20,1,404,
412,66,Female,82582,,Urban,Post-Graduate,Online,16,1,627,6
413,63,Female,20168,Jaipur,Rural,,Online,25,9,375,3
414,,female,142475,Mumbai,Urban,Post-Graduate,,15,7,831,7
415,48,Male,62981,Pune,Rural,,,37,5,603,3
416,52,male,112306,Ahmedabad,,Graduate,Offline,15,,480,2
417,50,Female,85199,Indore,Rural,Post-Graduate,Online,57,1,618,3
418,69,male,84948,Chennai,,,Offline,15,3,700,
419,38,Male,77782,,,Post-Graduate,Offline,56,,522,7
420,49,female,100759,Unknown,,Post-Graduate,Online,18,,506,1
421,40,male,129756,Unknown,rural,,Online,37,9,715,9
422,50,,81599,Ahmedabad,,,Online,1,,411,8
423,20,Male,139597,Ahmedabad,Rural,Non-Graduate,,33,3,640,9
424,35,Male,93563,Patna,rural,Post-Graduate,Online,3,5,696,3
425,42,F,36291,Kolkata,Urban,,,49,2,710,9
426,59,female,128945,Surat,Urban,Graduate,Online,22,5,709,3
427,48,female,73833,Pune,urban,Post-Graduate,Offline,54,7,608,5
428,,,110975,Bangalore,,,Online,21,5,373,5
429,20,male,107057,Hyderabad,urban,Non-Graduate,Online,46,5,541,9
430,57,M,110251,Lucknow,,Post-Graduate,Online,41,15,419,1
431,63,,107154,Hyderabad,,,,27,4,356,2
